country,renewables_share_elec,low_carbon_share_elec,fossil_share_elec,carbon_intensity_elec,electricity_generation,carbon_score,generation_score,ai_readiness_score
Ethiopia,100.0,100.0,0.0,23.08,33.37,97.69200000000001,0.10502842880680845,79.44
Paraguay,100.0,100.0,0.0,24.7,45.35,97.53,0.14273416980487752,79.41
Costa Rica,100.0,100.0,0.0,24.2,12.81,97.58,0.040318075307618106,79.4
Norway,98.999,98.999,1.001,28.11,160.81,97.189,0.5061319039982879,78.85
Uruguay,97.822,97.822,2.178,80.4,11.94,91.96000000000001,0.03757984536869322,76.8
Tajikistan,94.366,94.366,5.634,72.56,24.67,92.744,0.07764612941755962,75.1
Denmark,91.171,91.171,8.829,114.41,33.3,88.559,0.10480811145540068,72.3
Luxembourg,91.558,91.558,8.442,123.38,1.54,87.662,0.004846981730970482,72.27
Kenya,90.028,90.028,9.972,95.44,14.04,90.456,0.04418936591092569,72.14
Sweden,71.191,98.782,1.218,35.26,170.71,96.474,0.5372910722688123,71.66
New Zealand,88.533,88.533,11.467,92.76,43.34,90.724,0.13640791442874073,71.4
Brazil,86.601,88.716,11.284,109.95,750.53,89.005,2.362211167886543,70.99
Switzerland,67.825,97.693,2.307,39.22,65.02,96.078,0.20464334555045502,70.32
El Salvador,86.533,86.533,13.467,139.32,6.46,86.068,0.020332144144200856,69.11
Austria,83.597,83.597,16.403,116.91,73.22,88.309,0.23045194957250567,68.1
Kyrgyzstan,84.728,84.728,15.272,152.73,15.78,84.727,0.049665825788775465,67.79
Finland,56.464,96.343,3.657,57.47,82.3,94.253,0.2590302574408251,66.63
Portugal,80.951,80.951,19.049,127.91,51.13,87.209,0.16092608824968882,66.36
Georgia,79.63,79.63,20.37,145.93,13.5,85.407,0.04248977491435163,65.16
Ecuador,79.399,79.399,20.601,159.02,36.6,84.098,0.11519450087890887,64.72
Lithuania,77.615,77.615,22.385,138.36,8.89,86.164,0.02798030362878415,64.23
Croatia,76.259,76.259,23.741,158.5,14.7,84.15,0.046266643795627324,62.99
Colombia,77.025,77.025,22.975,186.81,90.36,81.319,0.2843982267600602,62.75
Latvia,73.046,73.046,26.954,138.76,6.27,86.124,0.019734139904665535,61.71
Montenegro,75.61,75.61,24.39,264.23,2.46,73.577,0.007742581206615186,59.98
Canada,63.9,76.977,23.023,190.72,652.44,80.928,2.0534836107495984,59.71
France,26.064,94.851,5.149,41.44,569.98,95.856,1.79394977079127,59.29
Spain,55.858,74.64,25.36,153.6,287.89,84.64,0.9061023185253845,57.7
Latin America and Caribbean (Ember),63.475,65.467,34.533,246.97,1846.94,75.303,5.813041842986119,55.5
World,33.76,42.61,57.39,458.29,31772.35,54.171,100.0,54.77
European Union (27),47.727,71.052,28.948,209.897,2797.09,79.0103,8.803535149272875,54.76
EU (Ember),47.727,71.052,28.948,209.9,2797.09,79.00999999999999,8.803535149272875,54.76
Chile,66.373,66.373,33.627,289.49,88.5,71.051,0.2785440799940829,54.32
Peru,63.65,63.65,36.35,238.25,60.44,76.175,0.19022829598691945,54.09
Slovenia,39.623,78.908,21.092,183.29,14.84,81.671,0.04670727849844283,54.01
Slovakia,18.729,85.155,14.845,94.85,29.1,90.515,0.09158907037093575,52.88
Belgium,38.935,72.013,27.987,149.82,72.89,85.018,0.22941331063015485,52.64
Hungary,35.313,75.323,24.677,163.02,40.24,83.69800000000001,0.12665100315211184,52.37
G20 (Ember),34.225,44.104,55.896,453.29,26769.539,54.671,84.25419901266353,52.31
United Kingdom,51.972,64.418,35.582,217.41,292.31,78.259,0.9200137855714167,52.07
Romania,47.039,67.517,32.483,250.75,49.81,74.92500000000001,0.15677153248028555,50.78
Sri Lanka,61.623,61.623,38.377,329.28,17.25,67.072,0.0542924901683382,50.67
Europe,41.551,61.953,38.047,271.19,4626.24,72.881,14.560584911094079,50.11
Europe (Ember),41.604,61.141,38.859,282.68,5101.69,71.732,16.057011835762854,49.89
Estonia,59.574,59.574,40.426,319.15,6.11,68.08500000000001,0.01923055738716211,49.79
Germany,59.092,59.092,40.908,329.65,500.47,67.035,1.5751746408433749,49.57
Armenia,38.992,65.946,34.053,211.93,9.72,78.807,0.030592637938333174,49.24
OECD (Ember),35.929,52.138,47.862,335.93,11365.01,66.407,35.770127170322624,48.38
