price_hub,year,month,avg_price_usd_mwh,max_price_usd_mwh,min_price_usd_mwh,total_volume_mwh,number_of_trades
Nepool MH DA LMP Peak,2017.0,1.0,44.1315,89.5,31.5,436000.0,529
NP15 EZ Gen DA LMP Peak,2017.0,1.0,37.30333333333333,43.5,34.75,35600.0,62
Indiana Hub RT Peak,2017.0,1.0,36.92333333333333,44.85,29.0,89600.0,109
SP15 EZ Gen DA LMP Peak,2017.0,1.0,35.445,40.0,32.0,282400.0,435
PJM WH Real Time Peak,2017.0,1.0,33.87238095238096,53.25,26.85,700800.0,835
Mid C Peak,2017.0,1.0,32.2505,48.0,25.75,836800.0,1645
Palo Verde Peak,2017.0,1.0,26.788,32.75,23.0,220000.0,432
ERCOT North 345KV Peak,2017.0,1.0,25.6675,35.0,20.25,73600.0,86
Nepool MH DA LMP Peak,2017.0,2.0,33.39176470588235,56.0,21.0,396000.0,459
NP15 EZ Gen DA LMP Peak,2017.0,2.0,33.041111111111114,37.5,27.75,12000.0,26
Indiana Hub RT Peak,2017.0,2.0,31.8,35.75,28.55,56800.0,71
PJM WH Real Time Peak,2017.0,2.0,29.153000000000002,37.5,24.85,728000.0,861
SP15 EZ Gen DA LMP Peak,2017.0,2.0,28.381666666666668,34.25,21.25,255200.0,434
ERCOT North 345KV Peak,2017.0,2.0,22.73909090909091,26.0,19.5,32800.0,33
Mid C Peak,2017.0,2.0,22.65157894736842,34.0,14.5,848000.0,1561
Palo Verde Peak,2017.0,2.0,21.59526315789474,25.0,14.0,152000.0,297
Nepool MH DA LMP Peak,2017.0,3.0,38.858636363636364,69.0,21.0,396800.0,464
PJM WH Real Time Peak,2017.0,3.0,34.667391304347824,59.0,26.0,766400.0,922
Indiana Hub RT Peak,2017.0,3.0,33.3075,45.0,27.0,68000.0,82
NP15 EZ Gen DA LMP Peak,2017.0,3.0,25.05666666666667,32.75,14.75,37200.0,68
ERCOT North 345KV Peak,2017.0,3.0,24.41111111111111,30.75,20.0,12000.0,15
SP15 EZ Gen DA LMP Peak,2017.0,3.0,23.45391304347826,33.25,13.5,320400.0,552
Palo Verde Peak,2017.0,3.0,21.083478260869565,33.0,13.5,150000.0,297
Mid C Peak,2017.0,3.0,13.454782608695652,25.0,-2.0,998400.0,1999
Indiana Hub RT Peak,2017.0,4.0,34.74625,38.0,29.0,20800.0,26
PJM WH Real Time Peak,2017.0,4.0,34.27842105263158,37.75,28.05,454400.0,541
Nepool MH DA LMP Peak,2017.0,4.0,33.209999999999994,43.0,27.75,382400.0,446
