country,year,coal_share_elec,gas_share_elec,oil_share_elec,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,nuclear_share_elec,carbon_intensity_elec
Bangladesh,2025,21.509,64.294,12.06,97.863,2.137,2.137,0.0,696.13
Kuwait,2025,0.0,62.007,35.755,97.762,2.238,2.238,0.0,635.31
Tunisia,2025,0.0,94.935,1.031,95.966,4.034,4.034,0.0,560.29
Qatar,2025,0.0,95.942,0.0,95.942,4.058,4.058,0.0,581.52
Oman,2025,0.0,91.862,3.596,95.458,4.542,4.542,0.0,544.47
Singapore,2025,0.948,91.122,2.444,94.514,5.486,5.486,,497.09
Iran,2025,0.184,89.542,4.573,94.3,3.843,5.7,1.857,659.53
Puerto Rico,2025,16.527,29.502,47.607,93.636,6.364,6.364,0.0,654.66
Middle East (Ember),2025,0.248,73.217,18.425,91.891,5.075,8.109,3.033,634.61
Mongolia,2025,85.759,0.0,5.882,91.641,8.359,8.359,0.0,816.31
Kosovo,2025,88.785,0.0,0.187,88.972,11.028,11.028,0.0,900.94
Moldova,2025,0.0,85.227,3.571,88.799,11.201,11.201,0.0,633.12
Azerbaijan,2025,0.0,87.611,0.249,87.86,12.14,12.14,0.0,631.9
Egypt,2025,0.0,79.626,7.358,86.985,13.015,13.015,,563.23
Taiwan,2025,36.253,48.774,1.605,86.633,12.24,13.367,1.127,633.21
Kazakhstan,2025,54.265,29.404,1.471,85.14,14.86,14.86,,805.32
Malta,2025,0.0,83.105,0.913,84.018,15.982,15.982,0.0,484.02
Thailand,2025,17.828,65.523,0.074,83.425,16.575,16.575,,545.74
Israel,2025,3.41,79.659,0.0,83.069,16.931,16.931,0.0,492.69
South Africa,2025,81.356,0.0,0.803,82.159,13.635,17.841,4.206,699.29
