country,year,iso_code,population,gdp,electricity_demand,electricity_generation,per_capita_electricity,primary_energy_consumption,coal_share_elec,gas_share_elec,oil_share_elec,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,nuclear_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,carbon_intensity_elec,demand_score,carbon_score,grid_stress_index,risk_level
World,2025,,8231613067.0,,31772.35,31772.35,3859.796,,32.958,21.784,2.649,57.39,33.76,42.61,8.849,8.745,8.539,13.959,458.29,100.0,45.829,70.97,High
G20 (Ember),2025,,,,26769.539,26769.539,,,36.249,17.806,1.84,55.896,34.225,44.104,9.88,9.513,9.674,12.371,453.29,84.25419901266353,45.329,64.07,High
Asia (Ember),2025,,,,16728.881,16728.881,,,51.562,10.216,1.095,62.873,32.048,37.127,5.08,9.705,7.8,12.274,544.4,52.65232505622027,54.44,56.25,Moderate
Uzbekistan,2025,UZB,37053428.0,,89.63,86.7,2339.865,,6.574,72.318,1.73,80.623,19.377,19.377,0.0,7.497,4.614,7.266,1000.0,0.2821006315239509,100.0,54.3,Moderate
Kosovo,2025,,1674131.0,,7.4,5.35,3195.688,,88.785,0.0,0.187,88.972,11.028,11.028,0.0,0.187,6.542,4.299,900.94,0.023290691434533488,90.09400000000001,53.73,Moderate
Mongolia,2025,MNG,3517097.0,,12.41,9.69,2755.113,,85.759,0.0,5.882,91.641,8.359,8.359,0.0,2.167,5.573,0.619,816.31,0.039059119013859535,81.631,52.0,Moderate
Bangladesh,2025,BGD,175686904.0,,118.06,103.4,588.547,,21.509,64.294,12.06,97.863,2.137,2.137,0.0,1.509,0.0,0.629,696.13,0.37158095010284103,69.613,50.39,Moderate
Kazakhstan,2025,KAZ,20843758.0,,126.1,123.69,5934.151,,54.265,29.404,1.471,85.14,14.86,14.86,,1.649,4.713,8.497,805.32,0.39688597160738814,80.53200000000001,49.86,Moderate
Middle East (Ember),2025,,,,1581.74,1581.74,,,0.248,73.217,18.425,91.891,5.075,8.109,3.033,3.552,0.463,1.024,634.61,4.978353820224189,63.461,48.6,Moderate
Iran,2025,IRN,92417684.0,,395.6,395.78,4282.514,,0.184,89.542,4.573,94.3,3.843,5.7,1.857,0.227,0.316,3.292,659.53,1.2451077745272228,65.95299999999999,48.57,Moderate
Kuwait,2025,KWT,5026079.0,,92.49,92.49,18402.018,,0.0,62.007,35.755,97.762,2.238,2.238,0.0,0.227,2.011,0.0,635.31,0.2911021690243246,63.53099999999999,48.5,Moderate
