country,electricity_generation,electricity_demand,renewables_share_elec,fossil_share_elec,carbon_intensity_elec,generation_score,demand_score,carbon_score,sustainability_score,risk_score,risk_level
Argentina,153.15,162.45,34.58,58.394,346.0,1.447082967979923,1.5377843410104222,34.599999999999994,38.093,23.06,Moderate Risk
Armenia,9.72,8.14,38.992,34.053,211.93,0.09184228827139963,0.07705487556678879,21.193,52.4695,10.69,Low Risk
Australia,286.34,286.34,38.618,61.382,525.18,2.7055679859704287,2.710551974176204,52.518,38.618,30.14,Moderate Risk
Austria,73.22,75.84,83.597,16.403,116.91,0.6918407764641852,0.7179166784994179,11.691,83.59700000000001,-0.09,Low Risk
Azerbaijan,28.09,27.17,12.14,87.86,631.9,0.2654166540682732,0.2571966792567139,63.190000000000005,12.14,42.89,High Risk
Bangladesh,103.4,118.06,2.137,97.863,696.13,0.9770054122698274,1.1175796817463248,69.613,2.1370000000000005,48.74,High Risk
Belarus,46.37,45.47,4.831,58.572,309.25,0.43814062830707823,0.4304281562680449,30.925000000000004,23.1295,23.2,Moderate Risk
Belgium,72.89,86.56,38.935,27.987,149.82,0.6887226740846006,0.8193943524645255,14.981999999999998,55.474000000000004,6.79,Low Risk
Bolivia,13.63,13.63,36.097,63.903,481.29,0.12878707707193177,0.1290243186701881,48.129,36.097,29.22,Moderate Risk
Bosnia and Herzegovina,14.44,14.44,43.56,56.44,570.64,0.13644060109454842,0.13669194142314864,57.06400000000001,43.56,29.74,Moderate Risk
Brazil,750.53,762.12,86.601,11.284,109.95,7.09160417863514,7.214381052452219,10.995000000000001,87.6585,-1.36,Low Risk
Bulgaria,37.96,36.53,32.798,28.082,275.55,0.3586762616031204,0.3458003199575914,27.555000000000003,52.358000000000004,11.46,Low Risk
Cambodia,17.76,22.39,40.878,59.122,498.87,0.167810600792187,0.2119482388133171,49.887,40.878,28.18,Moderate Risk
Canada,652.44,645.64,63.9,23.023,190.72,6.164771868291355,6.111757968174633,19.072,70.4385,5.99,Low Risk
Chile,88.5,88.5,66.373,33.627,289.49,0.8362183654340398,0.8377587822679124,28.949,66.37299999999999,11.99,Low Risk
China,10583.36,10563.9,37.044,58.349,525.34,100.0,100.0,52.534000000000006,39.3475,39.04,Moderate Risk
Colombia,90.36,91.61,77.025,22.975,186.81,0.8537931243007892,0.8671986671589091,18.681,77.025,4.67,Low Risk
Costa Rica,12.81,12.45,100.0,0.0,24.2,0.12103906509841865,0.1178542015732826,2.42,100.0,-9.14,Low Risk
Croatia,14.7,20.05,76.259,23.741,158.5,0.13889728781785746,0.1897973286380977,15.85,76.259,3.88,Low Risk
Cyprus,5.91,5.91,27.75,72.25,489.0,0.05584237897983249,0.055945247493823305,48.9,27.75,32.41,Moderate Risk
Czechia,75.5,68.04,16.848,40.848,401.46,0.7133840292685876,0.6440803112486866,40.146,38.0,20.52,Moderate Risk
Denmark,33.3,40.67,91.171,8.829,114.41,0.3146448764853505,0.3849903918060565,11.440999999999999,91.17099999999999,-2.86,Low Risk
Dominican Republic,22.68,22.68,23.81,76.19,537.48,0.2142986726332658,0.21469343708289554,53.748000000000005,23.810000000000002,35.5,Moderate Risk
Ecuador,36.6,36.64,79.399,20.601,159.02,0.34582590028119614,0.3468416020598453,15.902000000000003,79.399,2.81,Low Risk
Egypt,245.71,244.31,13.015,86.985,563.23,2.3216634414779427,2.3126875491059176,56.323,13.015,40.39,High Risk
El Salvador,6.46,6.27,86.533,13.467,139.32,0.06103921627914008,0.05935307982847243,13.932,86.533,-0.4,Low Risk
Estonia,6.11,9.34,59.574,40.426,319.15,0.05773213799776252,0.0884143166822859,31.915,59.574,15.33,Low Risk
Ethiopia,33.37,31.02,100.0,0.0,23.08,0.31530629214162603,0.2936415528356005,2.308,100.0,-9.17,Low Risk
Finland,82.3,87.78,56.464,3.657,57.47,0.7776358358782087,0.8309431175986142,5.747,76.40350000000001,-4.63,Low Risk
France,569.98,476.66,26.064,5.149,41.44,5.385624225198803,4.512159335094047,4.144,60.457499999999996,-2.94,Low Risk
Georgia,13.5,14.7,79.63,20.37,145.93,0.12755873371027726,0.13915315366483968,14.593,79.63,2.25,Low Risk
Germany,500.47,520.27,59.092,40.908,329.65,4.728838478517219,4.924980357633071,32.965,59.092,16.37,Low Risk
Greece,58.27,55.56,49.7,50.3,315.09,0.5505812898739153,0.5259421236475166,31.508999999999997,49.7,18.68,Low Risk
Hungary,40.24,48.9,35.313,24.677,163.02,0.3802195144075227,0.4628972254565075,16.302,55.318000000000005,6.4,Low Risk
India,2081.6,2082.82,24.067,73.347,670.13,19.668611858615787,19.716392620149758,67.013,25.360000000000003,41.23,High Risk
Iran,395.78,395.6,3.843,94.3,659.53,3.739644120581743,3.7448290877422163,65.95299999999999,4.771500000000001,46.56,High Risk
Ireland,30.95,37.64,48.142,51.858,256.54,0.2924402080246727,0.35630780298942627,25.654000000000003,48.142,17.17,Low Risk
Israel,82.1,75.7,16.931,83.069,492.69,0.7757460768602787,0.7165914103692765,49.269,16.930999999999997,36.38,Moderate Risk
Italy,264.7,311.6,48.776,51.224,284.78,2.501096060230399,2.9496682096574185,28.477999999999998,48.776,18.24,Low Risk
Japan,1029.86,1029.86,23.569,67.295,477.26,9.73093611102712,9.748861689338217,47.726,28.137,31.69,Moderate Risk
Kazakhstan,123.69,126.1,14.86,85.14,805.32,1.168721464638829,1.1936879372201554,80.53200000000001,14.86,48.11,High Risk
