country,year,electricity_demand,electricity_generation,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,carbon_intensity_elec
World,2025,31772.35,31772.35,57.39,33.76,42.61,458.29
G20 (Ember),2025,26769.539,26769.539,55.896,34.225,44.104,453.29
Asia (Ember),2025,16728.881,16728.881,62.873,32.048,37.127,544.4
OECD (Ember),2025,11365.01,11365.01,47.862,35.929,52.138,335.93
China,2025,10563.9,10583.36,58.349,37.044,41.651,525.34
G7 (Ember),2025,7829.55,7829.55,49.724,32.489,50.276,342.42
North America (Ember),2025,5172.82,5172.82,52.708,30.471,47.292,359.95
Europe (Ember),2025,5101.69,5101.69,38.859,41.604,61.141,282.68
Europe,2025,4598.53,4626.24,38.047,41.551,61.953,271.19
United States,2025,4535.81,4519.79,56.998,25.638,43.002,384.4
EU (Ember),2025,2774.64,2797.09,28.948,47.727,71.052,209.9
European Union (27),2025,2774.64,2797.09,28.948,47.727,71.052,209.897
India,2025,2082.82,2081.6,73.347,24.067,26.653,670.13
Latin America and Caribbean (Ember),2025,1846.94,1846.94,34.533,63.475,65.467,246.97
Middle East (Ember),2025,1581.74,1581.74,91.891,5.075,8.109,634.61
